domain,bias_score,factually_questionable_flag,propaganda_flag,conspiracy_flag,hate_group_flag,satire_flag
beholdisrael.org,3,1,0,1,0,0
beinglibertarian.com,1,0,0,0,0,0
belfercenter.org,0,0,0,0,0,0
beliefnet.com,2,0,0,0,0,0
bellingcat.com,0,0,0,0,0,0
bellinghamherald.com,-1,0,0,0,0,0
berkeleyside.com,-1,0,0,0,0,0
berkshireeagle.com,-1,0,0,0,0,0
berlingske.dk,1,0,0,0,0,0
bestdailynews.info,3,1,0,0,0,0
betootaadvocate.com,NaN,0,0,0,0,1
bettergov.org,0,0,0,0,0,0
bgdailynews.com,-1,0,0,0,0,0
bigamericannews.com,NaN,0,0,0,0,1
biggovernment.news,3,1,0,1,0,0
bigleaguepolitics.com,3,1,1,0,0,0
bignewsnetwork.com,0,0,0,0,0,0
bigthink.com,0,0,0,0,0,0
bild.de,1,0,0,0,0,0
billingsgazette.com,1,0,0,0,0,0
billionbibles.org,3,1,1,0,1,0
billmoyers.com,-1,0,0,0,0,0
bing.com,-1,0,0,0,0,0
bio.org,0,0,0,0,0,0
biologos.org,3,1,0,1,0,0
biomedcentral.com,0,0,0,0,0,0
bipartisanpolicy.org,1,0,0,0,0,0
bipartisanreport.com,-3,1,0,0,0,0
birminghammail.co.uk,-1,0,0,0,0,0
bismarcktribune.com,0,0,0,0,0,0
bitchmedia.org,-2,0,0,0,0,0
bizpacreview.com,2,0,0,0,0,0
bizstandardnews.com,NaN,0,0,0,0,1
bjreview.com,-3,1,0,0,0,0
blabber.buzz,2,0,0,0,0,0
blackagendareport.com,-2,0,0,0,0,0
blackeyepolitics.com,3,1,0,0,0,0
blackgenocide.org,3,1,1,0,1,0
blacklistednews.com,NaN,1,0,1,0,0
blacklivesmatter.com,-2,0,0,0,0,0
blackpigeonspeaks.com,3,1,0,0,1,0
bleacherreport.com,-1,0,0,0,0,0
bleepingcomputer.com,0,0,0,0,0,0
blingnews.com,3,1,0,0,0,0
bloodandsoil.org,3,1,0,0,1,0
bloomberg.com,-1,0,0,0,0,0
bluedotdaily.com,-3,1,0,0,0,0
bluenewsnetwork.com,NaN,0,0,0,0,1
bluestatedaily.com,-2,0,0,0,0,0
bluestemprairie.com,-1,0,0,0,0,0
bluevirginia.us,-2,0,0,0,0,0
bluntforcetruth.com,3,1,0,0,0,0
bmj.com,0,0,0,0,0,0
bnd.com,0,0,0,0,0,0
bnonews.com,0,0,0,0,0,0
boingboing.net,-2,0,0,0,0,0
bongino.com,3,1,0,0,0,0
bossip.com,-3,1,0,0,0,0
boston.cbslocal.com,-1,0,0,0,0,0
boston.com,-1,0,0,0,0,0
bostonglobe.com,-1,0,0,0,0,0
